participant_id,zone,zone_title,pod_id,pod_size,function,industry,ai_maturity,primary_next_activity,networking_opt_in,pod_common_ground,pod_complementarity,pod_useful_diversity,pod_session_continuity,pod_friction,pod_total_score,pod_rationale,pod_starter
146,A,Rewire for Value,A2,10,Risk/Legal,Energy,1,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
119,A,Rewire for Value,A2,10,Operations,Energy,0,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
60,A,Rewire for Value,A2,10,Strategy,Professional Services,0,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
5,A,Rewire for Value,A2,10,Operations,Industrial/Manufacturing,2,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
99,A,Rewire for Value,A2,10,Strategy,Other,2,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
82,A,Rewire for Value,A2,10,Risk/Legal,Professional Services,0,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
14,A,Rewire for Value,A2,10,Operations,Industrial/Manufacturing,1,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
18,A,Rewire for Value,A2,10,People/HR,Technology,1,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
44,A,Rewire for Value,A2,10,Strategy,Professional Services,0,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
51,A,Rewire for Value,A2,10,Operations,Industrial/Manufacturing,2,Future of Operations,True,0.335,0.751,0.839,1.0,0.0,2.255,"Este grupo compartilha interesse em redesenhar processos do zero e operacoes e cadeia de valor. Ao mesmo tempo, reune 4 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e operacoes e cadeia de valor. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
130,A,Rewire for Value,A3,9,Technology/Data,Professional Services,2,Future of Operations,True,0.379,0.625,0.712,1.0,0.0,2.135,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
159,A,Rewire for Value,A3,9,Strategy,Energy,1,Future of Operations,True,0.379,0.625,0.712,1.0,0.0,2.135,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
170,A,Rewire for Value,A3,9,Finance,Energy,0,Future of Operations,True,0.379,0.625,0.712,1.0,0.0,2.135,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
151,A,Rewire for Value,A3,9,Operations,Industrial/Manufacturing,1,Future of Operations,True,0.379,0.625,0.712,1.0,0.0,2.135,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
198,A,Rewire for Value,A3,9,Strategy,Technology,1,Future of Operations,True,0.379,0.625,0.712,1.0,0.0,2.135,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
192,A,Rewire for Value,A3,9,Strategy,Energy,0,Future of Operations,True,0.379,0.625,0.712,1.0,0.0,2.135,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
175,A,Rewire for Value,A3,9,Strategy,Professional Services,1,Future of Operations,True,0.379,0.625,0.712,1.0,0.0,2.135,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
4,A,Rewire for Value,A3,9,Strategy,Professional Services,1,Future of Operations,True,0.379,0.625,0.712,1.0,0.0,2.135,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
134,A,Rewire for Value,A3,9,Marketing/Sales,Energy,1,Future of Operations,True,0.379,0.625,0.712,1.0,0.0,2.135,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
132,A,Rewire for Value,A4,17,Finance,Industrial/Manufacturing,1,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
108,A,Rewire for Value,A4,17,Marketing/Sales,Other,2,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
25,A,Rewire for Value,A4,17,Technology/Data,Technology,1,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
107,A,Rewire for Value,A4,17,Strategy,Financial Services,0,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
135,A,Rewire for Value,A4,17,Other,Other,1,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
81,A,Rewire for Value,A4,17,Finance,Financial Services,1,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
189,A,Rewire for Value,A4,17,Marketing/Sales,Financial Services,2,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
13,A,Rewire for Value,A4,17,Finance,Financial Services,0,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
17,A,Rewire for Value,A4,17,Marketing/Sales,Financial Services,2,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
101,A,Rewire for Value,A4,17,Finance,Energy,0,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
165,A,Rewire for Value,A4,17,Marketing/Sales,Financial Services,1,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
48,A,Rewire for Value,A4,17,Finance,Financial Services,2,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
65,A,Rewire for Value,A4,17,Finance,Technology,1,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
56,A,Rewire for Value,A4,17,Finance,Industrial/Manufacturing,2,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
95,A,Rewire for Value,A4,17,Finance,Financial Services,1,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
200,A,Rewire for Value,A4,17,Finance,Financial Services,1,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
161,A,Rewire for Value,A4,17,Finance,Other,1,Future of Financial Services,True,0.384,0.59,0.66,1.0,0.015,2.071,"Este grupo compartilha interesse em escalar valor a partir de pilotos e arquitetura de dados e modelos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para Como agentes de IA estao redefinindo os servicos financeiros depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e arquitetura de dados e modelos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
24,A,Rewire for Value,A5,17,Marketing/Sales,Industrial/Manufacturing,0,Reinvention of Commerce,True,0.359,0.618,0.676,1.0,0.01,2.081,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para A Reinvencao do Comercio depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
57,A,Rewire for Value,A5,17,People/HR,Consumer/Retail,0,Reinvention of Commerce,True,0.359,0.618,0.676,1.0,0.01,2.081,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para A Reinvencao do Comercio depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
66,A,Rewire for Value,A5,17,Operations,Consumer/Retail,1,Reinvention of Commerce,True,0.359,0.618,0.676,1.0,0.01,2.081,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para A Reinvencao do Comercio depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
176,A,Rewire for Value,A5,17,Finance,Consumer/Retail,2,Reinvention of Commerce,True,0.359,0.618,0.676,1.0,0.01,2.081,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para A Reinvencao do Comercio depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
129,A,Rewire for Value,A5,17,Strategy,Consumer/Retail,1,Reinvention of Commerce,True,0.359,0.618,0.676,1.0,0.01,2.081,"Este grupo compartilha interesse em escalar valor a partir de pilotos e crescimento comercial. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para A Reinvencao do Comercio depois — a conversa pode continuar la.",Comecem por aqui: escalar valor a partir de pilotos e crescimento comercial. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
