ID,Função/Área,Setor,Interesses (2 a 3),Estágio da Org.,Desafio Atual (Aberto),Opt-in Networking?,Interesse em Palestras (Múltipla Escolha),T1,T2,T3
53,Consultoria de Gestão,Professional Services,Workflow Redesign; Scaling/Value,Exploring,"""Estruturar casos de uso de IA para redução de custos em clientes passando por reestruturação operacional.""",Sim,O Futuro das Operações,5,3,null
54,Technology/Data,Mobilidade Urbana (São Paulo),Data/Tech; Scaling/Value,Embedded/ Transforming,"""Processar milhões de validações de bilhetagem digital via QR code em milissegundos na rede de transporte.""",Sim,A Reinvenção do Comércio,null,4,2
55,Risk/Legal,Healthcare,Governance/Risk; People/Talent,Piloting,"""Treinar o corpo clínico sobre os riscos de alucinação em triagens baseadas em IA.""",Não,Não tenho nenhum interesse em particular,1,1,5
56,Finance,Industrial/Manufacturing,Operations; Scaling/Value,Scaling,"""Automatizar a modelagem financeira para avaliar viabilidade de fusões e aquisições na indústria.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,null,4
57,People/HR,Consumer/Retail,People/Talent; Workflow Redesign,Exploring,"""Mapear o impacto de copilotos na redução do turnover em funções de atendimento ao cliente.""",Sim,A Reinvenção do Comércio,2,2,null
58,Engenharia Estrutural,Infraestrutura,Data/Tech; Operations,Piloting,"""Otimizar o cálculo preditivo de fadiga de materiais em estruturas complexas.""",Sim,O Futuro das Operações,5,2,4
59,Marketing/Sales,Technology,Growth/Commercial; Agents,Scaling,"""Escalar campanhas outbound hiperpersonalizadas orquestradas por agentes autônomos.""",Sim,A Reinvenção do Comércio,4,5,null
60,Strategy,Turnaround & Restructuring,Workflow Redesign; Scaling/Value,Exploring,"""Identificar eficiências rápidas de caixa analisando despesas não estruturadas de empresas em crise.""",Sim,O Futuro das Operações,4,3,2
61,Technology/Data,Energy,Data/Tech; Governance/Risk,Embedded/ Transforming,"""Balanceamento autônomo e preditivo de redes elétricas inteligentes.""",Sim,O Futuro das Operações,null,5,5
62,Analista de Estratégia,Professional Services,Agents; Workflow Redesign,Piloting,"""Reduzir o tempo gasto em pesquisas de mercado qualitativas em projetos de estratégia.""",Sim,A Reinvenção do Comércio,5,null,3
63,Risk/Legal,Financial Services,Governance/Risk; Data/Tech,Scaling,"""Automatizar a leitura e extração de regras de marcos regulatórios globais complexos.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,2,5
64,Operations,Supply Chain & Logística,Operations; Scaling/Value,Piloting,"""Prever ruptura de estoque em centros de distribuição utilizando variações climáticas em tempo real.""",Sim,O Futuro das Operações,null,3,4
65,Finance,Technology,Scaling/Value; Workflow Redesign,Embedded/ Transforming,"""Consolidar demonstrações de resultados de múltiplas subsidiárias internacionais instantaneamente.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,4,null
66,Consultor de Operações,Consumer/Retail,Workflow Redesign; Growth/Commercial,Piloting,"""Otimizar o backoffice e padronizar processos de franquias varejistas espalhadas pelo país.""",Sim,A Reinvenção do Comércio,4,3,3
67,People/HR,Financial Services,People/Talent; Governance/Risk,Exploring,"""Criar políticas claras e manuais de adoção separando o uso de IA corporativa vs. ferramentas abertas.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,2,null,5
68,Marketing/Sales,Healthcare,Growth/Commercial; Data/Tech,Piloting,"""Modelagem preditiva para reduzir o churn de pacientes em operadoras de planos de saúde.""",Não,Não tenho nenhum interesse em particular,null,2,4
69,Strategy,Saneamento Básico,Operations; Workflow Redesign,Exploring,"""Monitoramento preditivo de vazamentos e perdas físicas na rede de distribuição hídrica.""",Sim,O Futuro das Operações,3,2,null
70,Technology/Data,Professional Services,Agents; Scaling/Value,Scaling,"""Implementar um sistema de busca RAG restrito conectando bases de conhecimento de todos os projetos passados da firma.""",Sim,O Futuro das Operações,4,4,3
71,Operations,Consumer/Retail,Operations; Workflow Redesign,Scaling,"""Otimizar o fluxo de caixa do varejo em tempo real baseando-se em vendas diárias.""",Sim,A Reinvenção do Comércio,3,4,2
72,Consultor de Projetos,Professional Services,Strategy; Agents,Piloting,"""Acelerar a resolução de problemas complexos em frameworks de projetos de consultoria.""",Sim,O Futuro das Operações,4,3,4
73,Technology/Data,Financial Services,Data/Tech; Scaling/Value,Embedded/ Transforming,"""Melhorar a precisão de estratégias quantitativas aplicadas ao balanceamento de portfólios.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,5,2
74,Risk/Legal,Healthcare,Governance/Risk; Operations,Exploring,"""Avaliar riscos de conformidade em diagnósticos e triagens automatizadas.""",Não,Não tenho nenhum interesse em particular,2,1,5
75,Operations,Engenharia Civil e Infraestrutura,Operations; Scaling/Value,Piloting,"""Análise preditiva do desgaste de materiais e otimização de suprimentos na infraestrutura civil.""",Sim,O Futuro das Operações,4,2,4
76,Finance,Financial Services,Governance/Risk; Workflow Redesign,Exploring,"""Estruturar modelos financeiros e de risco seguros para novos produtos bancários digitais.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,null,4
77,People/HR,Technology,People/Talent; Workflow Redesign,Scaling,"""Treinar equipes tradicionais para adotar ferramentas de engenharia de software assistida.""",Sim,O Futuro das Operações,4,4,3
78,Strategy,Industrial/Manufacturing,Agents; Growth/Commercial,Piloting,"""Definir métricas precisas para a avaliação do impacto de copilotos no chão de fábrica.""",Sim,A Reinvenção do Comércio,5,3,4
79,Marketing/Sales,Consumer/Retail,Growth/Commercial; Data/Tech,Scaling,"""Escalar campanhas de marketing conversacional mantendo um baixo custo de aquisição.""",Sim,A Reinvenção do Comércio,4,4,null
80,Technology/Data,Energy,Data/Tech; Operations,Embedded/ Transforming,"""Otimizar o despacho de energia em redes elétricas complexas e de alta variabilidade.""",Sim,O Futuro das Operações,2,4,4
81,Especialista em Modelagem Financeira,Financial Services,Data/Tech; Scaling/Value,Piloting,"""Acelerar projeções de M&A e valuations corporativos usando captura de dados não estruturados.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,5,3,2
82,Risk/Legal,Professional Services,Governance/Risk; Workflow Redesign,Exploring,"""Elaborar contratos de serviço automaticamente mitigando lacunas de auditoria e compliance.""",Sim,O Futuro das Operações,null,2,5
83,People/HR,Consumer/Retail,People/Talent; Agents,Piloting,"""Integrar assistentes de IA no onboarding de novos funcionários e gerentes de loja.""",Não,Não tenho nenhum interesse em particular,3,4,3
84,Operations,Technology,Operations; Scaling/Value,Scaling,"""Reduzir a latência no processamento de requisições encadeadas de agentes autônomos na nuvem.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,4,5,2
85,Strategy,Gestão de Transportes Metropolitanos,Workflow Redesign; Data/Tech,Piloting,"""Análise de fluxo de passageiros via bilhetagem digital para otimizar frotas e prever gargalos.""",Sim,O Futuro das Operações,3,null,4
86,Finance,Consumer/Retail,Scaling/Value; Governance/Risk,Embedded/ Transforming,"""Prever variações no fluxo de caixa baseando-se em eventos sazonais macroeconômicos.""",Sim,A Reinvenção do Comércio,4,3,5
87,Marketing/Sales,Mídia e Dados Financeiros,Growth/Commercial; Agents,Scaling,"""Disparo inteligente e personalizado de briefings matinais e resumos de notícias corporativas globais.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,4,4,3
88,Technology/Data,Healthcare,Data/Tech; Governance/Risk,Piloting,"""Criar agentes de busca RAG que auxiliem no prontuário eletrônico mantendo total privacidade do paciente.""",Sim,O Futuro das Operações,5,3,null
89,Risk/Legal,Industrial/Manufacturing,Governance/Risk; Operations,Exploring,"""Monitorar normativas de segurança do trabalho em tempo real integrando câmeras e sensores na fábrica.""",Sim,O Futuro das Operações,2,1,4
90,Consultor de Reestruturação,Professional Services,Workflow Redesign; Scaling/Value,Scaling,"""Identificar rapidamente ineficiências operacionais extraindo dados de relatórios durante a due diligence.""",Sim,A Reinvenção do Comércio,5,3,2
91,Technology/Data,Financial Services,Agents; Data/Tech,Scaling,"""Implementar LLMs seguros para análise de crédito B2B e rating de risco.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,4,4,2
92,Business Consultant,Consultoria Universitária,Strategy; People/Talent,Exploring,"""Estruturar treinamentos de resolução de cases de negócios usando IA.""",Sim,O Futuro das Operações,5,null,3
93,Risk/Legal,Consumer/Retail,Governance/Risk; Workflow Redesign,Piloting,"""Garantir a conformidade legal dos contratos de milhares de fornecedores do varejo.""",Sim,A Reinvenção do Comércio,2,2,5
94,Marketing/Sales,Technology,Growth/Commercial; Agents,Embedded/ Transforming,"""Criar agentes de vendas que qualificam leads complexos de SaaS automaticamente.""",Sim,A Reinvenção do Comércio,4,5,null
95,Finance,Investment Banking,Scaling/Value; Data/Tech,Piloting,"""Automatizar a inserção de premissas em templates de modelagem financeira de M&A.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,2,4
96,People/HR,Healthcare,People/Talent; Governance/Risk,Exploring,"""Avaliar o impacto de copilotos na redução de sobrecarga e burnout de plantonistas.""",Não,Não tenho nenhum interesse em particular,2,1,4
97,Operations,Industrial/Manufacturing,Operations; Workflow Redesign,Scaling,"""Reduzir o tempo de parada de máquinas críticas com manutenção preditiva autônoma.""",Sim,O Futuro das Operações,null,3,4
98,Strategy,Consumer/Retail,Growth/Commercial; Agents,Piloting,"""Hiperpersonalização de ofertas omnichannel sem causar fricção na jornada do usuário.""",Sim,A Reinvenção do Comércio,4,4,2
99,Strategy,Consultoria de Reestruturação,Workflow Redesign; Scaling/Value,Scaling,"""Acelerar o problem-solving na análise de caixa e passivos durante turnaround.""",Sim,O Futuro das Operações,5,3,3
100,Technology/Data,Financial Services,Agents; Governance/Risk,Piloting,"""Criar agentes seguros para detecção imediata de anomalias em transações instantâneas.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,null,5
101,Finance,Energy,Data/Tech; Scaling/Value,Exploring,"""Modelar o impacto financeiro da transição energética a longo prazo com IA.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,2,4
102,Risk/Legal,Professional Services,Governance/Risk; Workflow Redesign,Embedded/ Transforming,"""Auditar grandes volumes de dados em modelos de precificação de escritórios de advocacia.""",Sim,O Futuro das Operações,2,1,5
103,Engenheiro Civil,Infraestrutura,Operations; Data/Tech,Piloting,"""Aplicar estratégias quantitativas e IA para mitigar atrasos no cronograma de obras.""",Sim,O Futuro das Operações,4,2,4
104,Marketing/Sales,Healthcare,Growth/Commercial; Data/Tech,Exploring,"""Otimizar a captação de pacientes e conveniados de planos de saúde.""",Não,Não tenho nenhum interesse em particular,3,3,4
105,People/HR,Technology,People/Talent; Agents,Piloting,"""Automatizar o agendamento dinâmico de entrevistas de milhares de candidatos.""",Sim,O Futuro das Operações,4,5,null
106,Operations,Consumer/Retail,Operations; Scaling/Value,Scaling,"""Otimizar o roteamento de entregas de última milha (last-mile) no comércio eletrônico.""",Sim,A Reinvenção do Comércio,4,4,3
107,Strategy,Financial Services,Workflow Redesign; Agents,Exploring,"""Automatizar respostas complexas de atendimento ao cliente em bancos digitais.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,4,2
108,Marketing/Sales,Mídia e Notícias,Growth/Commercial; Scaling/Value,Scaling,"""Otimizar a curadoria de dados para a curadoria de newsletters matinais de finanças.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,3,4
109,Technology/Data,Industrial/Manufacturing,Data/Tech; Governance/Risk,Piloting,"""Proteger a propriedade intelectual interna ao usar copilotos de código no chão de fábrica.""",Sim,O Futuro das Operações,2,1,5
110,Finance,Consumer/Retail,Scaling/Value; Workflow Redesign,Embedded/ Transforming,"""Automatizar a reconciliação de pagamentos complexos com dezenas de adquirentes.""",Sim,A Reinvenção do Comércio,4,3,null
111,Risk/Legal,Financial Services,Governance/Risk; Operations,Piloting,"""Gerar automaticamente relatórios de compliance sobre portfólios e investimentos ESG.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,2,5
112,People/HR,Industrial/Manufacturing,People/Talent; Workflow Redesign,Exploring,"""Estruturar planos de retenção de talentos em áreas operacionais de manufatura pesada.""",Sim,O Futuro das Operações,2,2,3
113,Operations,Mobilidade Urbana (São Paulo),Operations; Scaling/Value,Scaling,"""Gerenciar a latência em milhões de validações diárias de bilhetes digitais e trens.""",Sim,O Futuro das Operações,4,3,4
114,Strategy,Technology,Agents; Scaling/Value,Piloting,"""Garantir a orquestração segura e escalável de infraestrutura de nuvem avançada.""",Sim,"O Futuro das Operações, Como agentes de IA estão redefinindo os serviços financeiros",3,4,3
115,Especialista em Recrutamento,Professional Services,People/Talent; Agents,Exploring,"""Treinar consultores juniores simulando mock interviews de alta complexidade com IA.""",Sim,O Futuro das Operações,5,3,4
116,Technology/Data,Healthcare,Data/Tech; Governance/Risk,Piloting,"""Estruturar lagos de dados de prontuários anonimizados para descoberta de padrões.""",Sim,O Futuro das Operações,3,2,5
117,Finance,Financial Services,Scaling/Value; Data/Tech,Scaling,"""Otimizar estratégias quantitativas e alocação de risco em carteiras institucionais.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,4,4,null
118,Marketing/Sales,Consumer/Retail,Growth/Commercial; Agents,Piloting,"""Criar agentes conversacionais empáticos para suporte resolutivo pós-venda.""",Não,Não tenho nenhum interesse em particular,3,4,2
119,Operations,Energy,Operations; Workflow Redesign,Exploring,"""Processar dados meteorológicos para agendar manutenção preditiva de turbinas eólicas.""",Sim,O Futuro das Operações,3,null,4
120,Líder de Eventos B2B,Educação Corporativa,Workflow Redesign; Scaling/Value,Piloting,"""Organizar feiras integrativas agrupando pessoas de acordo com seus interesses semânticos.""",Sim,O Futuro das Operações,4,3,3
121,Finance,Financial Services,Data/Tech; Scaling/Value,Scaling,"""Automatizar a conciliação bancária e de cartões de crédito em alta volumetria.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,2,4
122,Consultor Júnior,Professional Services,Workflow Redesign; People/Talent,Exploring,"""Acelerar a resolução e estruturação de cases de negócios em processos seletivos de alta complexidade.""",Sim,O Futuro das Operações,5,null,3
123,Operations,Energy,Operations; Data/Tech,Embedded/ Transforming,"""Otimizar o despacho de carga térmica em tempo real na matriz energética.""",Sim,O Futuro das Operações,2,4,4
124,Marketing/Sales,Consumer/Retail,Growth/Commercial; Agents,Piloting,"""Implantar agentes para personalização de vitrine no e-commerce.""",Não,Não tenho nenhum interesse em particular,4,4,2
125,Engenheiro Civil,Infraestrutura,Operations; Scaling/Value,Piloting,"""Redesenhar o fluxo de suprimentos e cronogramas físico-financeiros em grandes obras de infraestrutura.""",Sim,O Futuro das Operações,4,2,null
126,Risk/Legal,Healthcare,Governance/Risk; Workflow Redesign,Exploring,"""Auditoria automática de milhares de prontuários com IA generativa.""",Sim,O Futuro das Operações,2,1,5
127,People/HR,Technology,People/Talent; Agents,Scaling,"""Desenvolver agentes para triagem inicial de milhares de currículos de tecnologia.""",Sim,A Reinvenção do Comércio,4,4,3
128,Analista Quantitativo,Financial Services,Data/Tech; Scaling/Value,Piloting,"""Criar estratégias quantitativas automatizadas para balanceamento de fundos de investimento.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,4,3
129,Strategy,Consumer/Retail,Workflow Redesign; Growth/Commercial,Embedded/ Transforming,"""Otimizar a precificação dinâmica em lojas físicas através de etiquetas digitais integradas.""",Sim,A Reinvenção do Comércio,4,3,4
130,Technology/Data,Professional Services,Agents; Scaling/Value,Scaling,"""Implementar RAG em toda a base de conhecimento de projetos passados da consultoria.""",Sim,O Futuro das Operações,5,4,2
131,Especialista em Cibersegurança,Technology,Governance/Risk; Data/Tech,Scaling,"""Implantar autenticação biométrica rigorosa via face e digital para aprovação de grandes transações.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,null,5
132,Finance,Industrial/Manufacturing,Scaling/Value; Workflow Redesign,Piloting,"""Modelagem financeira automatizada para prever necessidade de Capex na indústria pesada.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,4,2,4
133,Operations,Healthcare,Operations; Data/Tech,Exploring,"""Otimizar a alocação de leitos de UTI com base em dados de internação em tempo real.""",Não,Não tenho nenhum interesse em particular,3,3,4
134,Marketing/Sales,Energy,Growth/Commercial; Scaling/Value,Piloting,"""Escalar campanhas B2B para o mercado livre de energia usando agentes hiperpersonalizados.""",Sim,O Futuro das Operações,4,3,3
135,Especialista em M&A,Boutique Financeira,Data/Tech; Scaling/Value,Piloting,"""Automatizar a construção de guias de modelagem financeira a partir do balanço patrimonial de corporações.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,3,4
136,Risk/Legal,Financial Services,Governance/Risk; Agents,Embedded/ Transforming,"""Monitoramento transacional AML (Prevenção à Lavagem de Dinheiro) orquestrado por agentes.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,2,1,5
137,Strategy,Technology,Strategy; Workflow Redesign,Scaling,"""Redesenho completo de processos e jornada de customer success corporativo.""",Sim,A Reinvenção do Comércio,4,4,3
138,Organizador de Eventos,Feiras de Recrutamento,Workflow Redesign; People/Talent,Exploring,"""Orquestrar o fluxo de participantes, currículos e empresas em workshops integrativos de contratação.""",Sim,O Futuro das Operações,5,4,null
139,Technology/Data,Consumer/Retail,Data/Tech; Agents,Piloting,"""Automação avançada de atendimento ao cliente integrando IA com o sistema de estoque físico.""",Sim,A Reinvenção do Comércio,3,5,2
140,Finance,Energy,Governance/Risk; Scaling/Value,Scaling,"""Hedge automatizado e análise preditiva do mercado de commodities.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,2,5
